Date,FII_Total_Net_Investment
2019-01-01,-5556.22
2019-02-01,12052.89
2019-03-01,48750.73
2019-04-01,16727.86
2019-05-01,11370.0
2019-06-01,13110.84
2019-07-01,-3003.21
2019-08-01,-5871.47
2019-09-01,6582.42
2019-10-01,16068.68
2019-11-01,22998.68
2019-12-01,2762.39
2020-01-01,-46.29
2020-02-01,2416.38
2020-03-01,-118203.0
2020-04-01,-14858.0
2020-05-01,-7355.0
2020-06-01,26009.0
2020-07-01,3301.0
2020-08-01,49878.0
2020-09-01,-1196.0
2020-10-01,21826.0
2020-11-01,62781.0
2020-12-01,71046.0
2021-01-01,14631.21
2021-02-01,24012.74
2021-03-01,17022.64
2021-04-01,-8835.9
2021-05-01,-1957.8
2021-06-01,12973.97
2021-07-01,-7409.99
2021-08-01,16555.95
2021-09-01,27755.71
2021-10-01,-12436.92
2021-11-01,-2520.76
2021-12-01,-29702.19
2022-01-01,-28526.3
2022-02-01,-38068.02
2022-03-01,-50067.58
2022-04-01,-22688.37
2022-05-01,-36517.86
2022-06-01,-51422.03
2022-07-01,1971.33
2022-08-01,56521.1
2022-09-01,-3955.31
2022-10-01,-3080.12
2022-11-01,33847.26
2022-12-01,9170.68
2023-01-01,-26543.75
2023-02-01,-4139.12
2023-03-01,5899.21
2023-04-01,13544.79
2023-05-01,48329.55
2023-06-01,56257.7
2023-07-01,47977.08
2023-08-01,18337.82
2023-09-01,-13810.39
2023-10-01,-17875.46
2023-11-01,24546.41
2023-12-01,84537.43
2024-01-01,-6593.34
2024-02-01,31816.83
2024-03-01,51996.2
2024-04-01,-16260.02
2024-05-01,-12910.86
2024-06-01,41757.44
2024-07-01,48796.04
2024-08-01,25493.29
2024-09-01,2611.79
2024-10-01,-114445.89
2024-11-01,-45974.12
2024-12-01,-16982.48
2025-01-01,-87374.66
2025-02-01,-58988.08
2025-03-01,2014.18
2025-04-01,2735.02
2025-05-01,-6449.74
